GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
324,111,3,2.5,2.0,8.8,1
298,98,2,4.0,3.0,8.03,0
312,103,3,3.5,4.0,8.78,0
307,107,2,3.0,3.5,8.52,1
304,105,2,3.0,3.0,8.2,1
328,113,4,4.0,2.5,8.77,1
321,111,4,4.0,4.0,8.97,1
297,101,3,2.0,4.0,7.67,1
322,110,5,5.0,4.0,9.1,1
322,105,2,3.0,3.0,8.45,1
316,111,4,4.0,5.0,8.54,0
339,114,5,4.0,4.5,9.76,1
313,98,3,2.5,4.5,8.3,1
331,120,3,4.0,4.0,8.96,1
310,106,2,3.5,2.5,8.33,0
330,116,5,5.0,4.5,9.36,1
310,104,3,2.0,3.5,8.37,0
324,110,3,3.5,3.5,9.04,1
300,95,2,3.0,1.5,8.22,1
310,110,1,1.5,4.0,7.23,1
315,107,2,4.0,3.0,8.5,1
316,98,1,1.5,2.0,7.43,0
311,99,2,2.5,3.0,7.98,0
311,104,2,2.5,3.5,8.48,0
324,100,3,4.0,5.0,8.64,1
316,99,2,2.5,3.0,9.0,0
308,108,4,4.5,5.0,8.34,0
311,99,1,2.5,3.0,8.43,1
307,105,2,2.5,4.5,8.12,1
324,105,3,3.0,4.0,8.75,0
319,105,4,4.0,4.5,8.66,1
308,110,3,3.5,3.0,8.0,1
335,117,5,5.0,5.0,9.82,1
318,106,3,2.0,3.0,8.65,0
325,112,4,3.5,3.5,8.92,0
315,99,2,3.5,3.0,7.89,0
302,102,1,2.0,1.5,8.0,0
301,99,2,3.0,2.0,8.22,0
300,99,1,3.0,2.0,6.8,1
320,104,3,3.0,2.5,8.57,1
327,104,5,3.0,3.5,8.84,1
305,96,4,3.0,4.5,8.26,0
327,113,4,3.5,3.0,8.69,1
332,118,2,4.5,3.5,9.36,1
314,108,3,4.5,3.5,8.14,0
312,100,1,3.0,3.0,8.53,1
325,112,4,4.0,4.0,9.0,1
309,106,2,2.5,2.5,8.0,0
305,102,2,2.0,2.5,8.18,0
321,114,4,4.0,5.0,9.12,0
323,104,3,4.0,4.0,8.44,1
309,100,2,3.0,3.0,8.1,0
313,101,3,2.5,3.0,8.04,0
315,104,3,3.0,2.5,8.33,0
309,99,3,4.0,4.0,8.56,0
319,108,2,2.5,3.0,8.76,0
310,107,3,3.5,3.5,8.67,0
308,104,2,2.5,3.0,8.07,0
324,112,4,4.5,4.0,9.22,1
329,114,5,4.0,5.0,9.3,1
315,106,3,4.5,3.5,8.42,0
304,103,5,5.0,4.0,8.64,0
322,110,3,4.0,5.0,8.64,1
323,112,5,4.0,4.5,8.78,0
317,107,3,4.0,3.0,8.7,0
323,107,3,3.5,3.5,8.55,1
336,118,5,4.5,5.0,9.53,1
299,100,2,2.0,2.0,7.88,0
299,102,3,4.0,3.5,8.62,0
317,106,2,2.0,3.5,8.12,0
327,113,3,3.5,3.0,8.66,1
320,104,3,3.5,4.5,8.34,1
316,101,2,2.5,2.0,8.32,1
298,98,2,1.5,2.5,7.5,1
329,110,2,4.0,3.0,9.15,1
311,104,3,4.5,4.5,8.43,0
290,100,1,1.5,2.0,7.56,0
311,104,3,3.5,2.0,8.2,1
317,107,2,3.5,3.0,8.28,0
313,102,3,2.5,2.5,8.68,0
308,103,2,2.5,4.0,8.36,1
324,113,4,4.5,4.0,8.79,0
325,114,3,3.5,3.0,9.04,1
331,119,4,5.0,4.5,9.34,1
304,100,2,3.5,3.0,8.22,0
297,98,2,2.5,3.0,7.67,0
317,104,2,4.5,4.0,8.47,0
311,106,2,3.5,3.0,8.26,1
318,109,1,3.5,3.5,9.12,0
316,107,2,3.5,3.5,8.64,1
322,110,3,3.5,2.5,8.67,1
308,106,3,3.0,3.0,8.24,0
316,102,3,2.0,3.0,7.4,0
313,106,2,2.5,2.0,8.43,0
304,100,2,2.5,3.5,8.07,0
321,109,3,3.0,3.0,8.54,1
312,100,2,1.5,3.5,7.9,1
324,107,4,4.0,4.5,8.87,1
318,110,3,4.0,3.0,8.8,0
327,113,4,4.5,5.0,9.14,0
326,114,4,4.0,3.5,9.16,1
311,107,4,4.5,4.5,9.0,1
340,120,5,4.5,4.5,9.6,1
314,110,3,4.0,4.0,8.8,0
301,104,2,3.5,3.5,7.89,1
317,107,3,3.5,3.0,8.68,1
332,117,4,4.5,4.0,9.1,0
333,118,5,5.0,5.0,9.35,1
321,107,2,2.0,1.5,8.44,0
314,107,2,2.5,4.0,8.56,0
307,110,4,4.0,4.5,8.37,0
306,105,2,2.5,3.0,8.22,1
314,102,2,2.0,2.5,8.24,0
311,103,3,2.0,4.0,8.09,0
326,108,3,3.0,3.5,8.89,0
324,110,3,3.5,3.0,9.22,1
327,113,4,4.5,4.5,9.04,0
332,118,5,5.0,5.0,9.64,1
319,103,3,2.5,4.0,8.76,1
306,106,2,2.0,2.5,8.14,0
308,105,4,3.0,2.5,7.95,1
320,108,3,3.5,5.0,8.97,1
299,96,2,1.5,2.0,7.86,0
315,105,3,2.0,2.5,8.48,0
295,99,2,2.5,3.0,7.65,0
308,103,2,3.0,3.5,8.49,0
329,111,4,4.5,4.0,9.23,1
305,105,2,3.0,4.0,8.13,0
309,111,2,2.5,4.0,8.03,0
311,105,2,3.0,2.0,8.12,1
325,111,3,3.0,3.5,8.7,0
326,116,3,3.5,4.0,9.14,1
297,99,4,3.0,3.5,7.81,0
307,105,2,2.0,3.5,8.1,0
293,97,2,2.0,4.0,7.8,1
327,112,3,3.0,3.0,8.72,1
307,105,2,2.5,3.0,7.65,0
313,94,2,2.5,1.5,8.13,0
318,107,3,3.0,3.5,8.27,1
296,99,2,3.0,3.5,7.28,0
333,119,5,5.0,4.5,9.78,1
300,102,3,3.5,2.5,8.17,0
314,105,2,2.5,2.0,7.64,0
300,104,3,3.5,3.0,8.16,0
302,99,1,2.0,2.0,7.25,0
322,104,3,3.5,4.0,8.84,1
323,113,3,4.0,4.0,8.88,1
334,116,4,4.0,3.5,9.54,1
314,109,4,3.5,4.0,8.77,1
329,119,4,4.5,4.5,9.16,1
328,116,5,4.5,5.0,9.08,1
304,103,5,5.0,3.0,7.92,0
340,115,5,4.5,4.5,9.45,1
330,120,5,4.5,5.0,9.56,1
307,108,2,4.0,3.5,7.7,0
312,107,3,3.0,3.0,8.46,1
316,104,3,3.0,3.5,8.0,1
324,113,4,4.5,4.5,9.25,1
328,108,4,4.5,4.0,9.18,1
321,109,3,3.5,3.5,8.8,1
318,109,3,3.5,4.0,9.22,1
305,106,2,3.0,3.0,8.16,0
319,102,3,2.5,2.5,8.37,0
299,100,3,2.0,3.0,7.42,0
335,115,4,4.5,4.5,9.68,1
312,107,4,4.5,4.0,8.65,1
324,107,5,3.5,4.0,8.66,1
300,98,1,2.0,2.5,8.02,0
321,109,4,4.0,4.0,8.68,1
305,105,2,3.0,2.0,8.23,0
311,104,3,4.0,3.5,8.13,1
338,118,4,3.0,4.5,9.4,1
314,108,4,4.5,4.0,9.04,1
339,119,5,4.5,4.0,9.7,0
323,113,3,4.0,3.0,9.32,1
320,110,2,4.0,3.5,8.56,0
306,100,2,3.0,3.0,8.0,0
296,99,2,2.5,2.5,8.03,0
331,117,4,4.5,5.0,9.42,1
298,99,2,4.0,2.0,7.6,0
308,108,3,3.5,3.5,8.22,0
329,111,4,4.5,4.5,9.18,1
322,115,5,4.0,4.5,9.36,1
319,106,3,4.0,3.0,8.0,1
313,104,3,4.0,4.5,8.65,0
332,119,4,5.0,4.5,9.24,1
304,104,3,2.5,2.0,8.12,0
314,107,2,2.5,4.0,8.27,0
324,110,4,4.5,4.0,9.15,1
330,114,4,4.5,3.0,9.17,1
